Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
A Well Finished Spacious & Serviced 3bedroom Terrace Duplex With 1room Bq,Maitama District Maitama Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-maitama-district-maitama-abuja-2GBZQ,Abuja,Maitama,"7,000,000/year",4 beds,3 baths,4 Toilets,09052654781,19 Feb 2022,19 Feb 2022
Newly Built 4 Bedroom Terrace Duplex,By 2nd Avenue Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-2nd-avenue-banana-island-ikoyi-lagos-4FVCH,Lagos,Ikoyi,"15,000,000",4 beds,4 baths,5 Toilets,08133194443,19 Dec 2021,19 Feb 2022
5bedroom Terrace House With 2 Rooms Bq,Gbaja Close Surulere Lagos,https://www.propertypro.ng/property/house-for-rent-gbaja-close-surulere-lagos-8FZXM,Lagos,Surulere,"3,000,000",0 beds,0 baths,0 Toilets,09050857650,03 Feb 2022,19 Feb 2022
Very Clean 3 Bedroom Detached Bungalow,Close To Urban Shelter Lokogoma Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-sale-close-to-urban-shelter-lokogoma-abuja-6FXGN,Abuja,Lokogoma,"32,000,000",3 beds,3 baths,4 Toilets,08053979149,14 Jan 2022,24 Feb 2022
Brand New Massive 5bedroom Fully Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-5GADD,Lagos,Lekki,"6,000,000",5 beds,6 baths,6 Toilets,09053588424,05 Feb 2022,19 Feb 2022
Fantastic Commercial Space,Off Adetokunbo Ademola Victoria Island Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-off-adetokunbo-ademola-victoria-island-lagos-3FYFB,Lagos,Island,"15,000,000/year",0 beds,0 baths,0 Toilets,07061276409,22 Jan 2022,19 Feb 2022
3bedroom Flat,Ipaja Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ipaja-lagos-6GBQV,Lagos,Ipaja,"800,000/year",3 beds,3 baths,3 Toilets,08182073205,16 Feb 2022,19 Feb 2022
Tastefully 4 Bedroom Duplex Bq,Located Inside A Mini Estate Off Shoprite Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-located-inside-a-mini-estate-off-shoprite-osapa-london-lekki-lagos-0GBWM,Lagos,Lekki,"6,000,000/year",4 beds,4 baths,5 Toilets,08164968133,18 Feb 2022,19 Feb 2022
Spacious 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-ikota-lekki-lagos-3FZRU,Lagos,Lekki,"5,500,000",0 beds,0 baths,0 Toilets,09050857650,02 Feb 2022,19 Feb 2022
Brand New Four Bedrooms Semi Detached Duplex With A Bq,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-8FVLN,Lagos,Lekki,"5,000,000",4 beds,5 baths,5 Toilets,09053588424,23 Dec 2021,19 Feb 2022
Executive 2b/r Flat,Gra Isheri North Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-gra-isheri-north-ojodu-lagos-0FVJG,Lagos,Ojodu,"800,000",2 beds,2 baths,3 Toilets,08031132776,22 Dec 2021,19 Feb 2022
Luxury 4 Bedroom All Rooms En Suite Semi Detached Duplex Plus A Room Bq,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-4FVAY,Lagos,Island,"8,000,000",4 beds,4 baths,5 Toilets,08164687732,18 Dec 2021,19 Feb 2022
5bedroom Fully Detached House,Vintage Park Ikate Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-vintage-park-ikate-lekki-lagos-7FZXM,Lagos,Lekki,"8,000,000",0 beds,0 baths,0 Toilets,09050857650,03 Feb 2022,19 Feb 2022
2 Bedroom Flat With Excellent Facilities,Isheri North Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-isheri-north-ojodu-lagos-2FXKF,Lagos,Ojodu,"1,000,000/year",2 beds,2 baths,3 Toilets,08137584753,15 Jan 2022,19 Feb 2022
4 Bedroom Terrace With Bq,Eletu Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-eletu-osapa-london-lekki-lagos-6GBVL,Lagos,Lekki,"3,000,000/year",4 beds,5 baths,5 Toilets,09081104133,17 Feb 2022,19 Feb 2022
High Class 3 Bedroom Apartment + Bq+ Tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,"20,000,000",3 beds,3 baths,4 Toilets,08124269637,20 Jan 2022,24 Feb 2022
